Command: ./simv_simple_fsm -cm line+cond+fsm+branch+tgl -cm_name simv_simple_fsm -cm_dir ./simv_simple_fsm.vdb +vpdfile+simv_simple_fsm.vpd -l simv_simple_fsm.log
Chronologic VCS simulator copyright 1991-2016
Contains Synopsys proprietary information.
Compiler version L-2016.06_Full64; Runtime version L-2016.06_Full64;  Jun  6 20:34 2021
*Verdi3* Loading libsscore_vcs201606.so
*Verdi3* : FSDB_GATE is set.
*Verdi3* : FSDB_RTL is set.
*Verdi3* : Enable Parallel Dumping.
FSDB Dumper for VCS, Release Verdi3_L-2016.06-1, Linux x86_64/64bit, 07/10/2016
(C) 1996 - 2016 by Synopsys, Inc.
*Verdi3* : Create FSDB file 'simple_fsm.fsdb'
*Verdi3* : Begin traversing the scope (tb_simple_fsm), layer (0).
*Verdi3* : End of traversing.
@time 10980ns: pi_money=0 state=001 po_cola=1
@time 11000ns: pi_money=1 state=001 po_cola=0
@time 11020ns: pi_money=0 state=010 po_cola=0
@time 11040ns: pi_money=1 state=010 po_cola=0
@time 11060ns: pi_money=0 state=100 po_cola=0
@time 11120ns: pi_money=1 state=100 po_cola=0
@time 11140ns: pi_money=1 state=001 po_cola=1
@time 11160ns: pi_money=1 state=010 po_cola=0
@time 11180ns: pi_money=0 state=100 po_cola=0
@time 11200ns: pi_money=1 state=100 po_cola=0
@time 11220ns: pi_money=0 state=001 po_cola=1
@time 11240ns: pi_money=1 state=001 po_cola=0
@time 11260ns: pi_money=0 state=010 po_cola=0
@time 11280ns: pi_money=1 state=010 po_cola=0
@time 11300ns: pi_money=1 state=100 po_cola=0
@time 11320ns: pi_money=0 state=001 po_cola=1
@time 11340ns: pi_money=0 state=001 po_cola=0
@time 11400ns: pi_money=1 state=001 po_cola=0
@time 11420ns: pi_money=1 state=010 po_cola=0
@time 11440ns: pi_money=0 state=100 po_cola=0
@time 11480ns: pi_money=1 state=100 po_cola=0
@time 11500ns: pi_money=0 state=001 po_cola=1
@time 11520ns: pi_money=1 state=001 po_cola=0
@time 11540ns: pi_money=0 state=010 po_cola=0
